Region,Site,Lat,Lon,coreNo,soilNo,bp,rcybp,event,subsidence,Uncertainty,source,quality,method
Washington ,Willapa Bay,,,,4,1415-1537,1601 plusMinus22 min,T5,1 min,0.40,13,1,""""
Washington ,Willapa Bay,46.631,123.917,,1,,,T1,1,0.40,15,1,tf diatoms ac; hm diatoms be
Washington ,Willapa Bay,46.630,123.909,Ni-I,1,0-450,269plusMinus33,T1,2.2,1.00,"8,14",1,"m, tf diatoms ac; Spruce, p, upland diatoms be"
Washington ,Willapa Bay,,,Redtail,2,,,?,1.7,1.10,14,2,possible tf diatoms ac; hm diatoms be. Contact invisible in outcrop
Washington ,Willapa Bay,,,,3,,,T4,2,1.20,"8,14",1,"m, tf diatoms ac; m, hhm diatoms be"
Washington ,Willapa Bay,,,,4,1612-1811,1774plusMinus25,T5,1.7,0.60,"8,14",1,"rm, tf diatoms ac; Spruce, p, upland diatoms be"
Washington ,Willapa Bay,,,,5,2366-2714,2475plusMinus23,T6,2,1.20,"8,14,16",1,"m, tf diatoms ac; pm, hm/upland diatoms be"
Washington ,Willapa Bay,,,,6,2969-3202,2922plusMinus27,T7,2,1.20,"8,14",1,"m, tf diatoms ac; Spruce, p, hm diatoms be"
Washington ,Willapa Bay,,,,7,3363-3443,3170plusMinus12,T8,1.7,1.10,"8,14,16",1,"Triglochin, m, tf diatoms ac; pm, hm diatoms be"
Washington ,Willapa Bay,,,,8,3689-4084,3570plusMinus70 min,T9,0.9,0.60,14,3,"Triglochin, Carex, m ac; pm be"
Washington ,Willapa Bay,46.629,123.907,,1,,,T1,1.2,0.40,15,1,tf diatoms diatoms ac; Spruce roots be
Washington ,Willapa Bay,46.628,123.963,,1,,,T1,1.3,0.50,8,2,"Triglochin, rm ac; Spruce, p be"
Washington ,Willapa Bay,46.628,123.910,,1,,,T1,2.2,1.00,8,3,"m ac; Spruce, pm be"
Washington ,Willapa Bay,46.621,123.899,,1,,,T1,2.1,1.20,15,1,tf/ lowest Im ac; Spruce be
Washington ,Willapa Bay,46.615,123.899,Ni-u,1,23-264,35plusMinus45,T1,1.3,0.50,8,2,"Triglochin, rm ac; Spruce, pm be"
Washington ,Willapa Bay,,,,2,,,?,1.5,1.30,8,3,m ac; pm/m be
