  longitude       latitude       slip_rate       depth       slip_rate_error
  -125.405334       45.6340027       28.3147144       1.97433341       6.84825802    
  -125.266335       45.6583366       27.5537319       3.82533336       6.38532066    
  -125.429665       45.3583336       26.1033707      0.915333331       6.68060160    
  -125.378334       45.4556694       26.6544762       1.86466658       6.75186825    
  -125.083656       43.1590004       20.1201191       4.77100039       3.68342423    
  -125.184662       43.1236687       20.5622082       3.55433345       3.84874654    
  -124.947998       45.5136681       23.4099464       8.82366657       4.59769201    
  -125.033333       45.5876656       25.1458511       7.34133339       5.25986624    
  -125.017334       42.1633339       18.0149937       3.58866692       4.08649111    
  -124.919334       41.2903328       19.4199238       4.49633360       4.91801023    
  -125.032005       41.1206703       20.6276608       1.09966671       5.15745544    
  -125.032005       41.2420006       19.7119389       2.31466675       5.34210825    
  -125.202332       46.4313354       36.3448219       6.35333300       5.80967999    
  -124.815666       42.2070007       16.6930904       8.05766678       2.75082254    
  -125.060997       42.0723343       17.9184170       3.01600003       4.48524761    
  -124.964661       42.7343330       19.9361782       6.31966639       2.67524123    
  -124.879005       43.8916664       18.3656101       9.19099998       3.97273946    
  -125.389336       43.3986664       20.1551933      0.690999985       5.06399059    
  -125.312340       43.3126640       20.2757473       1.67766666       4.53738213    
  -124.952332       43.0903320       19.7103195       6.45166636       3.15254831    
  -124.923668       43.0103340       19.8285618       6.85866690       3.00588918    
  -124.831665       42.8916664       19.1207809       8.28399944       2.34013748    
  -124.616333       40.9686699       24.0605125       8.63666630       3.40928626    
  -124.933327       41.1063347       21.4270000       3.06966662       4.86490536    
  -124.916992       41.0090027       22.5636787       1.96999991       4.66175842    
  -124.643669       41.0870018       22.8625393       8.63666630       3.27663445    
  -124.558662       40.5203362       33.4920349       6.66666651       2.83281422    
  -124.835670       43.3580017       18.3752651       9.07833385       3.05102968    
  -124.868996       43.7719994       18.4114494       9.19099998       3.90308237    
  -125.389336       43.8699989       19.3455772      0.673333347       5.99347925    
  -124.979668       43.2500000       19.4415474       6.08966684       3.54489040    
  -125.148659       43.3903351       19.6869736       3.84599996       4.30154085    
  -125.368004       46.4400024       38.5888138       4.67433357       6.84895229    
  -125.454994       46.3443336       38.1431580       3.50300026       7.35487556    
  -125.238670       46.1623344       33.7945404       5.37533331       6.36819744    
  -125.117676       46.2183342       33.0294914       6.84400034       5.59662724    
  -125.278328       43.8696632       19.1449966       1.89366663       5.79541969    
  -125.157661       43.7706718       19.1215611       3.58599973       5.28864384    
  -124.967003       46.7723351       36.1734619       9.06466675       4.40336275    
  -125.066338       46.8413353       38.2266579       8.25599957       4.99555635    
  -124.932335       44.1143341       18.3668060       8.42566681       4.52091932    
  -125.284668       43.0543327       20.7569103      0.813999951       3.87309766    
  -125.228661       42.9763336       20.8381519       2.24433327       3.69777298    
  -125.521667       47.4449959       35.6201401       5.77533340       6.95388937    
  -125.678993       47.3946686       36.4072876       4.13600016       7.84890938    
  -124.855675       41.2086678       20.4664097       5.25133324       4.55186224    
  -124.723328       41.2076683       20.6433926       7.48500013       3.53833365    
  -124.706993       40.6026649       27.9227562       3.33333325       3.23874807    
  -125.152992       42.4946671       19.9285927       2.46166682       3.44413781    
  -124.981331       41.7386665       16.5872002       4.08866644       4.99369097    
  -124.652992       41.2683334       19.0881882       8.84833336       3.23140407    
  -124.522667       40.3339996       37.0584831       6.66666651       2.84024739    
  -124.661995       40.4176674       37.4731216       3.33333325       2.87894869    
  -125.306664       43.2206612       20.4769363      0.986666679       4.23575544    
  -125.271667       43.1383362       20.6371632       1.80066669       4.00629997    
  -125.183342       42.6459999       20.6204910       2.02699995       3.43610334    
  -124.869667       41.9749985       16.8567905       5.96633339       3.41181374    
  -125.208336       42.9160004       20.8748875       2.11633325       3.57253671    
  -125.411659       43.7516670       19.5321732      0.673333347       6.06773376    
  -124.925331       42.1526680       17.4932728       5.33500051       3.33062911    
  -124.872002       42.0406647       16.9225578       6.48900032       3.21711373    
  -124.602333       40.6970024       25.3536224       6.66666651       3.56996322    
  -124.759666       40.7779999       24.6768646       3.33333325       3.88971996    
  -124.745331       40.9313316       24.4050865       5.30333328       4.06470776    
  -124.988335       43.6109962       18.8817635       6.53333282       4.19619465    
  -124.945671       43.7276649       18.6758118       7.54999971       4.21265888    
  -124.916328       42.2189980       17.3858604       6.09400034       2.98640347    
  -125.028343       41.8880005       17.2273579       3.49499989       4.96944189    
  -124.966675       41.9959984       17.3619156       4.23966646       4.24571800    
  -125.028343       43.9903297       18.5681324       6.31266642       4.89409018    
  -124.983665       43.8876648       18.5639801       7.07800055       4.48949194    
  -125.055664       43.7833290       18.8111229       5.43699980       4.72052717    
  -125.015991       43.3483315       19.3188591       5.56666708       3.73685265    
  -125.248680       42.7216644       20.8056107      0.773333311       3.53206038    
  -125.221336       42.8150024       20.8845940       1.45933342       3.55735087    
  -124.717995       41.9450035       15.9974566       9.19033337       2.73279500    
  -124.787331       42.0273323       16.4798717       8.24433422       2.88749719    
  -125.118996       41.6083336       17.1112823       2.22399998       5.53927231    
  -124.786659       43.0243340       18.6762638       9.33399963       2.48180985    
  -124.825996       42.9593353       19.1589737       8.43833256       2.50871444    
  -125.260338       42.1493340       18.4393215      0.640999973       4.85241652    
  -125.146996       42.2156677       18.6673603       2.01066661       4.44240522    
  -124.750999       41.5766716       15.3098564       8.05733395       3.63079333    
  -124.828003       41.7133331       15.5827436       6.58866644       3.94314480    
  -124.901001       43.5356636       18.6592236       8.17433262       3.66569853    
  -124.933662       43.4116669       18.8256168       7.25266647       3.45878768    
  -125.203331       43.3070030       20.0048275       3.32500005       4.29172134    
  -125.087990       43.2243347       19.9448147       4.66466665       3.78885317    
  -125.229332       42.5253334       20.2643433       1.25366664       3.46026325    
  -125.055000       42.6273346       20.1944256       4.75033331       3.05360770    
  -125.133667       42.6813354       20.5380001       3.27466655       3.27117801    
  -125.136330       42.7560005       20.5808086       3.57866669       3.19766951    
  -124.931000       42.3313332       17.7770958       6.01233339       2.83157229    
  -124.986671       42.4063377       18.7127495       4.88333321       3.03675508    
  -125.251671       41.9773369       17.9233150      0.796999991       5.25812101    
  -125.192993       42.0646667       18.1665211       1.43800008       5.01928616    
  -125.247673       41.7816658       17.4023781      0.833333313       5.63868999    
  -125.181335       41.8769989       17.5837440       1.63033330       5.50274467    
  -125.355995       43.6136665       19.7211475       1.36433327       5.84994984    
  -124.861671       43.0993347       19.1638851       8.03133297       2.89988351    
  -124.948997       42.8366699       20.0443802       6.50833321       2.76884580    
  -125.037331       42.8706665       20.4703217       5.42566681       3.09346676    
  -125.153664       43.5290031       19.4475861       3.89100003       4.77961874    
  -125.212990       43.6329994       19.4654865       3.05666661       5.34290934    
  -125.296669       44.1023369       18.8964863       1.75899994       5.79142618    
  -125.221001       43.9850006       18.9085121       2.97933316       5.72657013    
  -125.028343       42.5613327       19.7413616       4.71066666       3.01048446    
  -124.970001       42.5263329       19.0482960       5.76266670       2.80293870    
  -125.199989       42.3080025       19.0558891       1.36966670       3.98922610    
  -125.117004       42.3969994       19.4054585       2.57766676       3.54128194    
  -125.164673       41.4216652       18.2469177       1.21500003       5.51861000    
  -125.085327       41.4843330       17.6467781       2.60566664       5.44986677    
  -125.285339       44.3129997       19.2160339       1.67500007       5.77119112    
  -125.191994       44.2330017       18.9121895       3.43400002       5.74233866    
  -124.949333       44.3263359       18.5271530       8.34166622       4.40400553    
  -125.020332       44.2396660       18.5530415       6.76733351       4.86177158    
  -125.131676       42.8223305       20.6976166       3.76133347       3.26320648    
